"box","ID","transp","in_","out_","in_duration","out_duration","in_r_pk","out_r_pk","direction_detail","direction","type","time_inside_min","sex","IDmale","firstEgg","date_","rel_day","sleep","start","end","counter","sound_data","channel"
"29",70,"B4X1538","3860000000008001",2019-04-07 13:56:28,2019-04-07 13:59:14,1.323,4.44,503373,503385,"O/I|I/o","IN-OUT","v2",2.84066666762034,2,"B4P9246",2019-04-11,2019-04-07,-4,0,2019-04-07 13:53:37,2019-04-07 14:02:08,252,1,"1"
"30",77,"B4P8109","2EC213A801AF0001",2019-04-06 19:51:46,2019-04-07 06:46:11,1.382,3.706,14335410,14335467,"O/I|I/o","IN-OUT","v2",654.478433334827,2,"B4P8196",2019-04-09,2019-04-07,-2,1,2019-04-07 06:16:14,2019-04-07 07:16:14,43,1,"1"
"31",77,"B4P8109","2EC213A801AF0001",2019-04-07 12:36:42,2019-04-07 13:22:43,3.4,3.805,14336276,14336402,"O/I|I/O","IN-OUT","v2",46.080083334446,2,"B4P8196",2019-04-09,2019-04-07,-2,0,2019-04-07 11:50:37,2019-04-07 14:08:51,44,1,"1"
"32",87,"B4P9615","EC20000000008001",2019-04-20 17:48:29,2019-04-21 05:50:17,1.135,5.1,452386,452442,"O/I|I/o","IN-OUT","v2",721.884999998411,2,"B4X1438",2019-04-22,2019-04-21,-1,1,2019-04-21 05:20:22,2019-04-21 06:20:22,129,1,"1"
"33",87,"B4P9615","EC20000000008001",2019-04-21 12:51:59,2019-04-21 12:59:01,1.934,1.375,452692,452712,"O/I|I/i","IN-OUT","v2",7.05625,2,"B4X1438",2019-04-22,2019-04-21,-1,0,2019-04-21 12:44:55,2019-04-21 13:06:05,130,1,"1"
"34",87,"B4P9615","EC20000000008001",2019-04-25 19:23:32,2019-04-26 05:58:41,0.645,3.762,454900,454907,"O/i|I/o","IN-OUT","v2",635.212700001399,2,"B4X1438",2019-04-22,2019-04-26,4,1,2019-04-26 05:28:44,2019-04-26 06:28:44,131,1,"1"
"35",87,"B4P9615","EC20000000008001",2019-04-26 11:10:11,2019-04-26 11:24:50,0.539,4.546,455413,455436,"?/I|I/?","IN-OUT","v2",14.7257666667302,2,"B4X1438",2019-04-22,2019-04-26,4,0,2019-04-26 10:55:27,2019-04-26 11:39:38,132,1,"1"
"36",87,"B4P9615","EC20000000008001",2019-04-26 18:46:33,2019-04-27 06:05:22,0.591,2.233,455500,455509,"O/i|I/O","IN-OUT","v2",678.853883334001,2,"B4X1438",2019-04-22,2019-04-27,5,1,2019-04-27 05:35:24,2019-04-27 06:35:24,133,1,"1"
"37",87,"B4P9615","EC20000000008001",2019-04-27 07:04:28,2019-04-27 07:27:12,0.536,2.451,455552,456119,"O/i|I/o","IN-OUT","v2",22.7741833329201,2,"B4X1438",2019-04-22,2019-04-27,5,0,2019-04-27 06:41:41,2019-04-27 07:50:00,134,1,"1"
"38",87,"B4P9615","EC20000000008001",2019-04-27 07:42:51,2019-04-27 08:12:35,0.483,4.533,456124,456129,"O/I|I/O","IN-OUT","v2",29.8088833332062,2,"B4X1438",2019-04-22,2019-04-27,5,0,2019-04-27 07:13:02,2019-04-27 08:42:28,135,1,"1"
"39",87,"B4P9615","EC20000000008001",2019-04-27 09:33:44,2019-04-27 09:47:18,0.474,1.007,456267,456398,"O/I|I/o","IN-OUT","v2",13.5834499994914,2,"B4X1438",2019-04-22,2019-04-27,5,0,2019-04-27 09:20:08,2019-04-27 10:00:54,136,1,"1"
"40",87,"B4P9615","EC20000000008001",2019-04-27 10:05:27,2019-04-27 10:23:16,0.642,2.214,456403,456408,"O/I|I/O","IN-OUT","v2",17.8535666664441,2,"B4X1438",2019-04-22,2019-04-27,5,0,2019-04-27 09:47:35,2019-04-27 10:41:09,137,1,"1"
"41",87,"B4P9615","EC20000000008001",2019-04-27 10:29:26,2019-04-27 10:51:28,0.589,2.851,456413,456459,"O/I|I/o","IN-OUT","v2",22.0808500011762,2,"B4X1438",2019-04-22,2019-04-27,5,0,2019-04-27 10:07:21,2019-04-27 11:13:35,138,1,"1"
"42",87,"B4P9615","EC20000000008001",2019-04-27 11:05:17,2019-04-27 11:19:51,0.591,2.511,456464,456507,"O/i|I/o","IN-OUT","v2",14.6085166652997,2,"B4X1438",2019-04-22,2019-04-27,5,0,2019-04-27 10:50:40,2019-04-27 11:34:30,139,1,"1"
"43",87,"B4P9615","EC20000000008001",2019-04-27 11:36:10,2019-04-27 11:51:29,0.644,4.885,456514,456558,"O/I|I/o","IN-OUT","v2",15.3980833331744,2,"B4X1438",2019-04-22,2019-04-27,5,0,2019-04-27 11:20:46,2019-04-27 12:06:57,140,1,"1"
"44",87,"B4P9615","EC20000000008001",2019-04-27 12:10:16,2019-04-27 12:28:04,0.64,3.782,456563,456570,"O/I|I/o","IN-OUT","v2",17.8630333344142,2,"B4X1438",2019-04-22,2019-04-27,5,0,2019-04-27 11:52:24,2019-04-27 12:45:59,141,1,"1"
"45",87,"B4P9615","EC20000000008001",2019-04-27 13:03:44,2019-04-27 13:16:35,1.76,2.964,456706,456748,"O/I|I/o","IN-OUT","v2",12.8993999997775,2,"B4X1438",2019-04-22,2019-04-27,5,0,2019-04-27 12:50:50,2019-04-27 13:29:31,142,1,"1"
"46",87,"B4P9615","EC20000000008001",2019-04-27 15:19:27,2019-04-27 15:38:08,1.488,1.37,457066,457093,"O/I|I/o","IN-OUT","v2",18.7061666647593,2,"B4X1438",2019-04-22,2019-04-27,5,0,2019-04-27 15:00:44,2019-04-27 15:56:51,143,1,"1"
"47",95,"B4X1864","B5D0000000008001",2019-04-18 20:01:39,2019-04-19 06:02:48,0.944,5.123,266148,266182,"O/i|I/O","IN-OUT","v2",601.235383331776,2,"B4H0784",2019-04-21,2019-04-19,-2,1,2019-04-19 05:32:53,2019-04-19 06:32:53,341,1,"1"
"48",95,"B4X1864","B5D0000000008001",2019-04-19 19:17:55,2019-04-19 19:22:03,0.961,6.053,268224,268231,"O/I|I/o","IN-OUT","v2",4.23421666622162,2,"B4H0784",2019-04-21,2019-04-19,-2,0,2019-04-19 19:13:40,2019-04-19 19:26:23,342,1,"1"
"49",95,"B4X1864","B5D0000000008001",2019-04-20 19:53:08,2019-04-21 06:23:38,1.231,4.333,269379,269403,"O/I|I/O","IN-OUT","v2",630.572216665745,2,"B4H0784",2019-04-21,2019-04-21,0,1,2019-04-21 05:53:42,2019-04-21 06:53:42,343,1,"1"
"50",95,"B4X1864","B5D0000000008001",2019-04-21 19:39:35,2019-04-21 19:47:33,2.02,4.439,269912,269936,"O/I|I/O","IN-OUT","v2",8.04064999818802,2,"B4H0784",2019-04-21,2019-04-21,0,0,2019-04-21 19:31:32,2019-04-21 19:55:39,344,1,"1"
"51",95,"B4X1864","B5D0000000008001",2019-04-21 19:52:53,2019-04-22 06:44:38,3.76,0.612,269941,269968,"O/I|I/o","IN-OUT","v2",651.760199999809,2,"B4H0784",2019-04-21,2019-04-22,1,1,2019-04-22 06:14:38,2019-04-22 07:14:38,345,1,"1"
"52",95,"B4X1864","B5D0000000008001",2019-04-22 07:02:42,2019-04-22 07:05:35,1.902,0.806,269989,270013,"O/i|I/o","IN-OUT","v2",2.8967666665713,2,"B4H0784",2019-04-21,2019-04-22,1,0,2019-04-22 06:59:48,2019-04-22 07:08:29,346,1,"1"
"53",95,"B4X1864","B5D0000000008001",2019-04-22 13:01:04,2019-04-22 13:06:34,0.697,0.796,270120,270146,"O/I|I/o","IN-OUT","v2",5.51326666673025,2,"B4H0784",2019-04-21,2019-04-22,1,0,2019-04-22 12:55:33,2019-04-22 13:12:05,347,1,"1"
"54",95,"B4X1864","B5D0000000008001",2019-04-22 15:00:30,2019-04-22 15:03:21,0.473,5.5,270267,270277,"O/I|I/O","IN-OUT","v2",2.94166666666667,2,"B4H0784",2019-04-21,2019-04-22,1,0,2019-04-22 14:57:33,2019-04-22 15:06:23,348,1,"1"
"55",95,"B4X1864","B5D0000000008001",2019-04-22 17:25:12,2019-04-22 17:56:45,1.504,4.507,270412,270447,"O/I|I/O","IN-OUT","v2",31.625116666158,2,"B4H0784",2019-04-21,2019-04-22,1,0,2019-04-22 16:53:34,2019-04-22 18:28:27,349,1,"1"
"56",95,"B4X1864","B5D0000000008001",2019-04-24 19:35:40,2019-04-25 06:16:27,43.125,3.134,272616,272622,"o/i|I/o","IN-OUT","v2",640.835566667716,2,"B4H0784",2019-04-21,2019-04-25,4,1,2019-04-25 05:46:30,2019-04-25 06:46:30,350,1,"1"
"57",95,"B4X1864","B5D0000000008001",2019-04-25 07:23:08,2019-04-25 07:37:04,0.849,2.885,272686,272720,"O/i|I/o","IN-OUT","v2",13.9814166665077,2,"B4H0784",2019-04-21,2019-04-25,4,0,2019-04-25 07:09:09,2019-04-25 07:51:05,351,1,"1"
