*;C:\Users\lschlicht\ownCloud\2019-01-21 Dawn chorus\Analysis of observational data\Combined data\2019-04-03_box197_095204_final2.wav;0:52:02.376;1.642;3.375.000;7.812.500;-1;different territory;197_030419;-54.33
*;C:\Users\lschlicht\ownCloud\2019-01-21 Dawn chorus\Analysis of observational data\Combined data\2019-04-11_box12_090604_final2.wav;0:08:38.621;1.596;4.062.500;9.125.000;-1;nh;012_110419;-47.28
*;C:\Users\lschlicht\ownCloud\2019-01-21 Dawn chorus\Analysis of observational data\Combined data\2019-04-11_box12_090604_final2.wav;0:15:15.810;1.324;4.125.000;8.187.500;-1;nh;012_110419;-48.04
*;C:\Users\lschlicht\ownCloud\2019-01-21 Dawn chorus\Analysis of observational data\Combined data\2019-04-11_box12_090604_final2.wav;0:18:31.893;1.417;4.125.000;8.500.000;-1;nh;012_110419;-50.22
*;C:\Users\lschlicht\ownCloud\2019-01-21 Dawn chorus\Analysis of observational data\Combined data\2019-04-11_box12_090604_final2.wav;0:17:06.178;16.647;4.375.000;8.625.000;-1;outside territory;012_110419;-44.99
*;C:\Users\lschlicht\ownCloud\2019-01-21 Dawn chorus\Analysis of observational data\Combined data\2019-04-11_box12_090604_final2.wav;0:20:09.506;1.255;4.500.000;7.562.500;-1;far away;012_110419;-55.27
*;C:\Users\lschlicht\ownCloud\2019-01-21 Dawn chorus\Analysis of observational data\Combined data\2019-04-11_box12_090604_final2.wav;0:30:43.128;8.170;4.250.000;8.937.500;-1;far away;012_110419;-45.97
*;C:\Users\lschlicht\ownCloud\2019-01-21 Dawn chorus\Analysis of observational data\Combined data\2019-04-15_box9_095800_final2.wav;0:08:15.039;31.773;4.625.000;9.062.500;-1;far away;009_150419;-48.43
*;C:\Users\lschlicht\ownCloud\2019-01-21 Dawn chorus\Analysis of observational data\Combined data\2019-04-15_box9_095800_final2.wav;0:08:46.540;113.424;4.125.000;8.000.000;-1;far away;009_150419;-44.46
*;C:\Users\lschlicht\ownCloud\2019-01-21 Dawn chorus\Analysis of observational data\Combined data\2019-04-11_box12_090604_final2.wav;0:20:40.668;1.815;3.625.000;9.125.000;-1;rather far away;012_110419;-48.76
*;C:\Users\lschlicht\ownCloud\2019-01-21 Dawn chorus\Analysis of observational data\Combined data\2019-04-11_box12_090604_final2.wav;0:21:13.302;1.453;4.062.500;9.125.000;-1;rather far away at least one territory;012_110419;-47.63
*;C:\Users\lschlicht\ownCloud\2019-01-21 Dawn chorus\Analysis of observational data\Combined data\2019-04-11_box12_090604_final2.wav;0:33:37.889;54.589;4.250.000;9.062.500;-1;probably from other territory;012_110419;-43.07
*;C:\Users\lschlicht\ownCloud\2019-01-21 Dawn chorus\Analysis of observational data\Combined data\2019-04-11_box12_090604_final2.wav;1:26:30.248;1.495;3.937.500;8.000.000;-1;two blue tits interacting;012_110419;-45.79
*;C:\Users\lschlicht\ownCloud\2019-01-21 Dawn chorus\Analysis of observational data\Combined data\2019-04-15_box9_095800_final2.wav;0:02:20.680;113.424;4.250.000;8.812.500;-1;other territories;009_150419;-47.61
*;C:\Users\lschlicht\ownCloud\2019-01-21 Dawn chorus\Analysis of observational data\Combined data\2019-04-15_box174_084000_final2.wav;0:29:57.333;1.478;3.875.000;8.125.000;-1;probably outside of territory;174_150419;-43.67
*;C:\Users\lschlicht\ownCloud\2019-01-21 Dawn chorus\Analysis of observational data\Combined data\2019-04-16_box174_081000_final2.wav;0:12:02.240;11.764;3.562.500;8.687.500;-1;male is in sight, apparently not singing;174_160419;-43.77
*;C:\Users\lschlicht\ownCloud\2019-01-21 Dawn chorus\Analysis of observational data\Combined data\2019-04-01_box09_085600_final2.wav;0:35:57.950;3.039;3.625.000;9.500.000;calls;30;box9_01042019;-40.29
*;C:\Users\lschlicht\ownCloud\2019-01-21 Dawn chorus\Analysis of observational data\Combined data\2019-04-01_box09_085600_final2.wav;1:04:45.896; 0.671;4.937.500;8.625.000;calls;0;box9_01042019;-26.46
*;C:\Users\lschlicht\ownCloud\2019-01-21 Dawn chorus\Analysis of observational data\Combined data\2019-04-01_box09_085600_final2.wav;0:43:50.349; 0.771;7.062.500;9.750.000;predator call?;;box9_01042019;
