"box","ID","time_inside_min","in_","out_","out_duration","sleep","counter","direction_reliable","overlap","rel_day","start","end","type","DB","no_song","no_calls","noYN","noCallsYN","N","f_type","no_vocs","noVocsYN","f_noYN","no_mins_song","no_mins_calls","no_mins_vocs","song_per_time","calls_per_time","vocs_per_time","date_","hour_of_out"
"45",14,"B4P9322",678.516066666444,2019-04-08 19:40:07,2019-04-09 06:58:34,3.964,-1,1038,1,1,3,2019-04-08 19:26:00,2019-04-08 19:54:59,"before",-30,0,0,0,0,14,"before",0,0,"0",0,0,0,0,0,0,2019-04-09,6
"46",14,"B4P9322",678.516066666444,2019-04-08 19:40:07,2019-04-09 06:58:34,3.964,-1,1038,1,1,3,2019-04-08 19:26:00,2019-04-08 19:54:59,NA,-30,0,0,0,0,1,NA,0,0,"0",0,0,0,0,0,0,2019-04-09,6
"47",14,"B4P9322",678.516066666444,2019-04-08 19:40:07,2019-04-09 06:58:34,3.964,-1,1038,1,1,3,2019-04-08 19:26:00,2019-04-08 19:54:59,"during",-30,0,0,0,0,14,"during",0,0,"0",0,0,0,0,0,0,2019-04-09,6
"48",18,"B4P9324",688.571866667271,2019-04-11 19:24:03,2019-04-12 06:52:33,4.312,1,94,1,-1,0,2019-04-12 06:23:00,2019-04-12 07:21:59,"during",-30,66,6,1,1,29,"during",72,1,"1",13,3,16,2.2,0.2,2.4,2019-04-12,6
"49",18,"B4P9324",688.571866667271,2019-04-11 19:24:03,2019-04-12 06:52:33,4.312,1,94,1,-1,0,2019-04-12 06:23:00,2019-04-12 07:21:59,NA,-30,0,0,0,0,1,NA,0,0,"0",0,0,0,0,0,0,2019-04-12,6
"50",18,"B4P9324",688.571866667271,2019-04-11 19:24:03,2019-04-12 06:52:33,4.312,1,94,1,-1,0,2019-04-12 06:23:00,2019-04-12 07:21:59,"after",-30,0,1,0,1,29,"after",1,1,"0",0,1,1,0,0.0333333333333333,0.0333333333333333,2019-04-12,6
"51",18,"B4P9324",22.8681499997775,2019-04-12 07:28:32,2019-04-12 07:51:21,3.089,0,95,1,-1,0,2019-04-12 07:06:00,2019-04-12 08:13:59,"before",-30,0,2,0,1,22,"before",2,1,"0",0,2,2,0,0.0874578835637976,0.0874578835637976,2019-04-12,7
"52",18,"B4P9324",22.8681499997775,2019-04-12 07:28:32,2019-04-12 07:51:21,3.089,0,95,1,-1,0,2019-04-12 07:06:00,2019-04-12 08:13:59,NA,-30,0,0,0,0,2,NA,0,0,"0",0,0,0,0,0,0,2019-04-12,7
"53",18,"B4P9324",22.8681499997775,2019-04-12 07:28:32,2019-04-12 07:51:21,3.089,0,95,1,-1,0,2019-04-12 07:06:00,2019-04-12 08:13:59,"during",-30,0,14,0,1,22,"during",14,1,"0",0,4,4,0,0.612205184946584,0.612205184946584,2019-04-12,7
"54",18,"B4P9324",22.8681499997775,2019-04-12 07:28:32,2019-04-12 07:51:21,3.089,0,95,1,-1,0,2019-04-12 07:06:00,2019-04-12 08:13:59,"after",-30,4,0,1,0,22,"after",4,1,"1",3,0,3,0.174915767127595,0,0.174915767127595,2019-04-12,7
"55",18,"B4P9324",667.049700001876,2019-04-15 19:31:40,2019-04-16 06:38:41,1.982,-1,1039,1,1,3,2019-04-15 19:17:00,2019-04-15 19:45:59,"before",-30,0,0,0,0,14,"before",0,0,"0",0,0,0,0,0,0,2019-04-16,6
"56",18,"B4P9324",667.049700001876,2019-04-15 19:31:40,2019-04-16 06:38:41,1.982,-1,1039,1,1,3,2019-04-15 19:17:00,2019-04-15 19:45:59,NA,-30,0,0,0,0,1,NA,0,0,"0",0,0,0,0,0,0,2019-04-16,6
"57",18,"B4P9324",667.049700001876,2019-04-15 19:31:40,2019-04-16 06:38:41,1.982,-1,1039,1,1,3,2019-04-15 19:17:00,2019-04-15 19:45:59,"during",-30,0,0,0,0,14,"during",0,0,"0",0,0,0,0,0,0,2019-04-16,6
"58",19,"B4X1875",652.09778333505,2019-04-13 19:26:01,2019-04-14 06:18:05,1.867,-1,1148,1,1,-4,2019-04-13 19:12:00,2019-04-13 19:40:59,"before",-30,0,0,0,0,14,"before",0,0,"0",0,0,0,0,0,0,2019-04-14,6
"59",19,"B4X1875",652.09778333505,2019-04-13 19:26:01,2019-04-14 06:18:05,1.867,-1,1148,1,1,-4,2019-04-13 19:12:00,2019-04-13 19:40:59,NA,-30,0,0,0,0,1,NA,0,0,"0",0,0,0,0,0,0,2019-04-14,6
"60",19,"B4X1875",652.09778333505,2019-04-13 19:26:01,2019-04-14 06:18:05,1.867,-1,1148,1,1,-4,2019-04-13 19:12:00,2019-04-13 19:40:59,"during",-30,0,0,0,0,14,"during",0,0,"0",0,0,0,0,0,0,2019-04-14,6
"61",19,"B4X1875",647.196216666698,2019-04-16 19:51:10,2019-04-17 06:38:19,2.773,-1,1149,1,1,-1,2019-04-16 19:37:00,2019-04-16 20:05:59,"before",-30,0,0,0,0,14,"before",0,0,"0",0,0,0,0,0,0,2019-04-17,6
